,AAPL,MSFT,JPM,JNJ,XOM,BAC,WFC,WMT,UNH,CVX,PFE,ADBE,MCD,MDT,MMM,HON,GE,ABT,MO,UNP,TXN,LLY,KO,PG,PEP,VZ,BA,GS
AAPL,,0.0,-0.26768760400206304,-4.180015360262445,0.5163747648226149,9.727316240056751,0.9686082911379188,1.479158282317428,0.0,0.8464270685491329,3.0467946241304844,0.0,-2.926418272373624,-25.591329122446638,0.0,-6.506664151332103,2.2764349565945565,-63.0719013592857,-5.377561112792023,0.5781302019070509,-10.233020178051774,0.0,1.5579505952096895,-5.452312911651234,-4.6735297671447995,-20.357105117881957,2.902938540908025,-17.87094164821822
MSFT,0.0,,2.2432087474490103,3.753053918543884,0.0,0.9663660318388239,-2.8094014007021997,0.0,7.026345990178513,0.6255079757783335,-0.8956698195496315,5.182059707244456,3.9845197504322627,-2.4259689915175002,-6.480786420075532,-2.9652344818541394,7.983239769544763,0.6535741768452752,-0.3918935775198804,6.190019193359092,-0.8663513471185595,3.340087950800907,-0.31845337275589713,2.278086533571468,-0.3985397368752217,0.0,0.2190508017342765,1.3277484046402463
JPM,-0.26768760400206304,2.2432087474490103,,0.0,1.6545325607230836,-1.8446574908070303,0.08153842947761802,0.6008831719390031,4.265827730656383,1.3399750271387916,0.34707847093671873,0.5746773613415321,0.0,0.0,-9.567038652610137,0.9521976923379967,2.8887746449601153,0.5690501687882232,0.0869094650195592,1.5293504118718921,1.9616708192068089,3.2967632484971574,0.8792824925909883,0.2261912864861273,0.8591516072837351,-7.492785838357939,3.1651964960198455,1.113210018720224
JNJ,-4.180015360262445,3.753053918543884,0.0,,-4.12501320115436,2.766108147051071,-2.2613304744630085,6.983498750768206,7.458783264397937,3.447806083116788,2.0746359557787173,1.1016396817568932,-2.571199891717498,-2.992860658213658,0.8448963096352315,4.105529846800501,3.4155894380916862,0.0,-3.9561966917004128,1.25794368687707,2.969006970291659,3.4257077939061844,5.334533597794575,7.791540245550635,2.425108248282882,1.243601995796297,-6.363969659041949,2.5174305909858674
XOM,0.5163747648226149,0.0,1.6545325607230836,-4.12501320115436,,0.5888283307581474,0.0,2.352811712547833,1.619450648728531,-0.11437820683888589,4.465464348368471,4.649663228669596,9.109056736965911,0.0,2.2351335514591995,0.7416774679574729,-2.521718334895276,-3.6222240023154626,2.20205968243031,0.0,1.7264768222291877,3.2704657807687596,1.7847203631928892,1.0051437265986465,-1.7738543113594147,2.9172979782295556,-34.510045358973485,-2.4771953266743196
BAC,9.727316240056751,0.9663660318388239,-1.8446574908070303,2.766108147051071,0.5888283307581474,,-0.18049635910389483,-0.6199642870326691,-12.29911255437252,2.4267449200683444,0.6495698912913301,0.0,3.4117627582118644,-1.5211227502727809,-21.442012159662738,-7.003040314292576,1.4135921975851797,0.792537668573928,0.5329144620576258,16.44464255537423,-0.042669367904117905,-0.20492583136707054,0.2315720188603123,1.549937503340594,-5.715208050606943,0.8791268182668439,10.771313055692065,0.14034936267253784
WFC,0.9686082911379188,-2.8094014007021997,0.08153842947761802,-2.2613304744630085,0.0,-0.18049635910389483,,0.0,7.391569695069016,0.5011114413353255,0.7955145351477135,0.9566287008249219,2.365588564805904,-6.136337935606683,-4.534269063310791,-0.4980889246142084,1.1513942386702638,0.8163152646398473,0.0,1.1377465384567884,5.039686725629807,1.3469335141229806,1.107488208179845,1.2918910000763688,-1.4510251021962972,3.43000456431821,11.221332096174415,4.721160175594463
WMT,1.479158282317428,0.0,0.6008831719390031,6.983498750768206,2.352811712547833,-0.6199642870326691,0.0,,0.0,1.5281934550392862,-5.319979522396196,2.730781807426183,3.1936544551998622,0.0,-2.6974692941409444,0.47866353169398224,0.7678727387248472,-4.675740113906045,-7.0903951019710405,-2.1978641004958988,0.0,0.0,-0.0952505459269446,1.9462052198172444,-0.705101849310168,-6.8487875386881,0.6340058049860673,0.0
UNH,0.0,7.026345990178513,4.265827730656383,7.458783264397937,1.619450648728531,-12.29911255437252,7.391569695069016,0.0,,32.122795634262715,8.87875701960813,16.034690150316493,0.3138920393146236,4.745631557268368,5.084186319745683,8.952659252127248,-0.09821915464416975,0.0,-13.617137587619766,4.120014392413054,1.5165237139405576,3.432110315853379,-2.9241649491563066,-21.199354197799423,1.8091320846718304,-12.559138277028666,-10.556897882081785,-20.04509643815848
CVX,0.8464270685491329,0.6255079757783335,1.3399750271387916,3.447806083116788,-0.11437820683888589,2.4267449200683444,0.5011114413353255,1.5281934550392862,32.122795634262715,,-8.583465516616442,1.8491959501888289,5.352215543791672,0.0,-3.983825632127136,0.0,2.078847822077492,-0.48794863464353,1.9031893847646018,2.216583104288034,0.0,0.0,2.2643112612582144,3.3398086687308535,-2.1859017280816175,4.987073853254799,0.0,1.9600304803772204
PFE,3.0467946241304844,-0.8956698195496315,0.34707847093671873,2.0746359557787173,4.465464348368471,0.6495698912913301,0.7955145351477135,-5.319979522396196,8.87875701960813,-8.583465516616442,,0.36380450972380274,4.737215680115938,-12.552297094662315,-7.690752999938269,2.2823007143206198,-2.4226113993172262,-0.33545142346737933,0.0,0.434897458076243,-7.959944125165059,0.0,-1.2433823795487058,-5.431877269955756,0.38407550776490496,-3.6107926061245585,0.3521450235231498,-4.608546815744965
ADBE,0.0,5.182059707244456,0.5746773613415321,1.1016396817568932,4.649663228669596,0.0,0.9566287008249219,2.730781807426183,16.034690150316493,1.8491959501888289,0.36380450972380274,,-1.2473016390848102,-2.840796559117905,-16.621383199914163,9.535976061076198,-10.616814891004083,1.623989522089886,2.6195301182573587,-2.6215790560130188,11.97320471767241,-0.8299977856082847,-3.034440786469503,6.8831993411121175,4.600902190548787,0.0,-4.253972847384418,0.0
MCD,-2.926418272373624,3.9845197504322627,0.0,-2.571199891717498,9.109056736965911,3.4117627582118644,2.365588564805904,3.1936544551998622,0.3138920393146236,5.352215543791672,4.737215680115938,-1.2473016390848102,,-5.7296743725620445,-2.1988142915182323,-7.3238165047444,-0.2838587781327391,2.5119048304769365,-0.5339478336503873,2.0144550423831475,-12.616800665393342,0.3926679891596905,-6.295647341301532,-1.2676628291571461,5.1335629246432575,5.55234554078902,-10.236253154650292,-11.609851998657405
MDT,-25.591329122446638,-2.4259689915175002,0.0,-2.992860658213658,0.0,-1.5211227502727809,-6.136337935606683,0.0,4.745631557268368,0.0,-12.552297094662315,-2.840796559117905,-5.7296743725620445,,13.848509504879516,4.26269579720303,0.0,0.12015552447249433,0.14174339876730357,0.16662178791770543,4.295414948930386,1.4251447680002656,0.0,0.22197073367607345,2.2343655623655962,-5.70546426043007,-5.24381852483792,0.0
MMM,0.0,-6.480786420075532,-9.567038652610137,0.8448963096352315,2.2351335514591995,-21.442012159662738,-4.534269063310791,-2.6974692941409444,5.084186319745683,-3.983825632127136,-7.690752999938269,-16.621383199914163,-2.1988142915182323,13.848509504879516,,2.4467122494222053,-2.048356536716568,1.8336989105441859,30.462245354396444,-28.5067223018321,-21.278451526555287,-0.2537706314746231,31.943698815463236,-15.582617819920088,0.7576025053481601,-9.561097004313126,27.358330108428632,5.929386851962846
HON,-6.506664151332103,-2.9652344818541394,0.9521976923379967,4.105529846800501,0.7416774679574729,-7.003040314292576,-0.4980889246142084,0.47866353169398224,8.952659252127248,0.0,2.2823007143206198,9.535976061076198,-7.3238165047444,4.26269579720303,2.4467122494222053,,8.780561740147974,6.324149939874701,0.0,0.0,6.3861312242287624,-1.756424458861062,1.5557208520149715,0.7284911467487518,5.151338759795799,-0.17110049045734854,-17.738218606498158,-4.122917339795407
GE,2.2764349565945565,7.983239769544763,2.8887746449601153,3.4155894380916862,-2.521718334895276,1.4135921975851797,1.1513942386702638,0.7678727387248472,-0.09821915464416975,2.078847822077492,-2.4226113993172262,-10.616814891004083,-0.2838587781327391,0.0,-2.048356536716568,8.780561740147974,,0.19583206173354029,0.4914897935413318,-0.7637557803406239,4.55202361281977,0.0,1.9059484229021422,0.0,0.676131051608003,1.2622359114707287,19.852355532290744,7.32621836433314
ABT,-63.0719013592857,0.6535741768452752,0.5690501687882232,0.0,-3.6222240023154626,0.792537668573928,0.8163152646398473,-4.675740113906045,0.0,-0.48794863464353,-0.33545142346737933,1.623989522089886,2.5119048304769365,0.12015552447249433,1.8336989105441859,6.324149939874701,0.19583206173354029,,0.28888515504485923,3.0648322350248662,4.259495715434767,0.0,0.0,1.8495568507200737,0.0,-0.05566327821782835,1.0040140127543964,-27.273188485787358
MO,-5.377561112792023,-0.3918935775198804,0.0869094650195592,-3.9561966917004128,2.20205968243031,0.5329144620576258,0.0,-7.0903951019710405,-13.617137587619766,1.9031893847646018,0.0,2.6195301182573587,-0.5339478336503873,0.14174339876730357,30.462245354396444,0.0,0.4914897935413318,0.28888515504485923,,2.352566641370629,0.0,0.09946331584227153,1.1590621817416604,-1.3901520448340676,0.7036376869277916,0.0,0.0,13.719442153209854
UNP,0.5781302019070509,6.190019193359092,1.5293504118718921,1.25794368687707,0.0,16.44464255537423,1.1377465384567884,-2.1978641004958988,4.120014392413054,2.216583104288034,0.434897458076243,-2.6215790560130188,2.0144550423831475,0.16662178791770543,-28.5067223018321,0.0,-0.7637557803406239,3.0648322350248662,2.352566641370629,,-14.912426313703591,1.9738493760769842,-0.0814592733296422,-5.605447067492733,-6.826675543257906,0.0,0.0,0.11224203256209364
TXN,-10.233020178051774,-0.8663513471185595,1.9616708192068089,2.969006970291659,1.7264768222291877,-0.042669367904117905,5.039686725629807,0.0,1.5165237139405576,0.0,-7.959944125165059,11.97320471767241,-12.616800665393342,4.295414948930386,-21.278451526555287,6.3861312242287624,4.55202361281977,4.259495715434767,0.0,-14.912426313703591,,0.7293701379261108,5.836290579451003,0.0,1.9538320052920994,2.3382091667392686,4.881233289984095,0.0
LLY,0.0,3.340087950800907,3.2967632484971574,3.4257077939061844,3.2704657807687596,-0.20492583136707054,1.3469335141229806,0.0,3.432110315853379,0.0,0.0,-0.8299977856082847,0.3926679891596905,1.4251447680002656,-0.2537706314746231,-1.756424458861062,0.0,0.0,0.09946331584227153,1.9738493760769842,0.7293701379261108,,1.3371305869070653,1.5666076919670004,0.9054628876886781,-6.412810660096099,0.0,0.0
KO,1.5579505952096895,-0.31845337275589713,0.8792824925909883,5.334533597794575,1.7847203631928892,0.2315720188603123,1.107488208179845,-0.0952505459269446,-2.9241649491563066,2.2643112612582144,-1.2433823795487058,-3.034440786469503,-6.295647341301532,0.0,31.943698815463236,1.5557208520149715,1.9059484229021422,0.0,1.1590621817416604,-0.0814592733296422,5.836290579451003,1.3371305869070653,,0.0,2.666174284341025,-0.19535614761528564,1.9299003943010185,0.0
PG,-5.452312911651234,2.278086533571468,0.2261912864861273,7.791540245550635,1.0051437265986465,1.549937503340594,1.2918910000763688,1.9462052198172444,-21.199354197799423,3.3398086687308535,-5.431877269955756,6.8831993411121175,-1.2676628291571461,0.22197073367607345,-15.582617819920088,0.7284911467487518,0.0,1.8495568507200737,-1.3901520448340676,-5.605447067492733,0.0,1.5666076919670004,0.0,,-0.3460538844154257,-8.479178566608304,-10.56689778680915,0.0
PEP,-4.6735297671447995,-0.3985397368752217,0.8591516072837351,2.425108248282882,-1.7738543113594147,-5.715208050606943,-1.4510251021962972,-0.705101849310168,1.8091320846718304,-2.1859017280816175,0.38407550776490496,4.600902190548787,5.1335629246432575,2.2343655623655962,0.7576025053481601,5.151338759795799,0.676131051608003,0.0,0.7036376869277916,-6.826675543257906,1.9538320052920994,0.9054628876886781,2.666174284341025,-0.3460538844154257,,3.9758315303026706,3.7803146209415956,2.3969406603406185
VZ,-20.357105117881957,0.0,-7.492785838357939,1.243601995796297,2.9172979782295556,0.8791268182668439,3.43000456431821,-6.8487875386881,-12.559138277028666,4.987073853254799,-3.6107926061245585,0.0,5.55234554078902,-5.70546426043007,-9.561097004313126,-0.17110049045734854,1.2622359114707287,-0.05566327821782835,0.0,0.0,2.3382091667392686,-6.412810660096099,-0.19535614761528564,-8.479178566608304,3.9758315303026706,,-1.2909411458762037,-12.24424381814778
BA,2.902938540908025,0.2190508017342765,3.1651964960198455,-6.363969659041949,-34.510045358973485,10.771313055692065,11.221332096174415,0.6340058049860673,-10.556897882081785,0.0,0.3521450235231498,-4.253972847384418,-10.236253154650292,-5.24381852483792,27.358330108428632,-17.738218606498158,19.852355532290744,1.0040140127543964,0.0,0.0,4.881233289984095,0.0,1.9299003943010185,-10.56689778680915,3.7803146209415956,-1.2909411458762037,,0.5389508628203998
GS,-17.87094164821822,1.3277484046402463,1.113210018720224,2.5174305909858674,-2.4771953266743196,0.14034936267253784,4.721160175594463,0.0,-20.04509643815848,1.9600304803772204,-4.608546815744965,0.0,-11.609851998657405,0.0,5.929386851962846,-4.122917339795407,7.32621836433314,-27.273188485787358,13.719442153209854,0.11224203256209364,0.0,0.0,0.0,0.0,2.3969406603406185,-12.24424381814778,0.5389508628203998,
